id,geometry_name,id_expl,id_planeamento,desig_comercial,tipo_servico_niveis,num_bicicletas,num_docas,racio,estado,update_date,bbox,longitude,latitude
emel_gira_stations.224,geom,488,488,488 - Rua Fernando Namora / Rua António Quadros,B,2,20,0.1,active,2025-02-14T18:10:49Z,"[-9.17526, 38.76014, -9.17526, 38.76014]",-9.17526,38.76014
emel_gira_stations.30,geom,130,130,130 - Avenida Berlim / Rua Américo Jesus Fernandes,A,0,20,0.0,active,2025-02-14T18:11:08Z,"[-9.106858, 38.767761, -9.106858, 38.767761]",-9.106858,38.767761
emel_gira_stations.37,geom,365,365,365 - Rua Castilho / Rua Marquês da Fronteira,A,1,30,0.03,active,2025-02-14T18:11:11Z,"[-9.157531, 38.729724, -9.157531, 38.729724]",-9.157531,38.729724
emel_gira_stations.225,geom,308,308,308 - Marquês de Pombal,A,2,11,0.18,active,2025-02-14T18:10:50Z,"[-9.14969, 38.7246, -9.14969, 38.7246]",-9.14969,38.7246
emel_gira_stations.227,geom,114,114,114 - Via do Oriente,B,0,10,0.0,active,2025-02-14T18:10:50Z,"[-9.09974, 38.78836, -9.09974, 38.78836]",-9.09974,38.78836
emel_gira_stations.38,geom,508,508,508 - Estação de Comboios de Benfica,A,9,23,0.39,active,2025-02-14T18:11:11Z,"[-9.200039, 38.74473, -9.200039, 38.74473]",-9.200039,38.74473
emel_gira_stations.228,geom,224,224,224 - Martim Moniz,A,7,22,0.32,active,2025-02-14T18:10:50Z,"[-9.13651, 38.71498, -9.13651, 38.71498]",-9.13651,38.71498
emel_gira_stations.39,geom,510,510,510 - Largo da Revista Militar / Avenida do Colégio Militar,A,2,17,0.12,active,2025-02-14T18:11:12Z,"[-9.189058, 38.752892, -9.189058, 38.752892]",-9.189058,38.752892
emel_gira_stations.231,geom,212,212,212 - Av. Infante Dom Henrique / Terminal de Cruzeiros,B,5,20,0.25,active,2025-02-14T18:10:51Z,"[-9.12769, 38.71035, -9.12769, 38.71035]",-9.12769,38.71035
emel_gira_stations.40,geom,517,517,517 - Rua Padre Américo,A,2,19,0.11,active,2025-02-14T18:11:12Z,"[-9.180437, 38.763505, -9.180437, 38.763505]",-9.180437,38.763505
